n,carat,cut,color,clarity,depth,table,price,x,y,z
6682,0.9,Ideal,H,SI2,61.8,57,4101,6.17,6.19,3.82
6683,0.9,Ideal,H,SI2,61.8,56,4101,6.17,6.2,3.82
6688,1.11,Very Good,E,SI2,61.6,61,4102,6.61,6.66,4.09
6693,0.31,Premium,I,SI1,62.3,59,408,4.29,4.32,2.68
6694,0.31,Premium,G,SI2,61.3,58,408,4.37,4.4,2.69
6695,0.31,Ideal,G,SI2,61.7,56,408,4.34,4.38,2.69
6703,0.3,Premium,H,SI2,60.2,62,410,4.37,4.34,2.62
6705,0.36,Premium,J,SI1,61.6,60,410,4.54,4.58,2.81
6712,0.27,Very Good,E,VS1,60.6,59,413,4.19,4.22,2.55
6713,0.27,Very Good,D,VS1,62.2,58,413,4.14,4.15,2.58
6717,0.32,Ideal,J,VS2,62.3,55.3,413,4.36,4.37,2.72
6720,0.3,Ideal,D,SI2,61.1,58,413,4.31,4.33,2.64
6725,0.27,Ideal,F,VS2,60.3,56,577,4.24,4.27,2.56
6737,0.3,Very Good,E,VS1,61.5,57,578,4.28,4.31,2.64
6739,0.4,Very Good,F,SI2,62.1,57,579,4.7,4.74,2.93
6740,0.36,Ideal,G,VS2,62.3,54,579,4.59,4.62,2.87
6741,0.31,Fair,E,SI1,56.9,66,579,4.53,4.47,2.56
6743,0.33,Ideal,G,VS2,62.2,56,579,4.43,4.44,2.76
6745,0.33,Good,E,SI1,63.4,55,579,4.37,4.4,2.78
6747,0.33,Good,E,SI1,63.8,55,579,4.36,4.38,2.79
6750,0.33,Ideal,H,VS1,61.5,56,579,4.44,4.47,2.74
6751,1,Good,F,SI2,65.7,62,4102,6.15,6.21,4.06
6753,1.09,Premium,E,SI2,60.1,62,4102,6.72,6.6,4
6757,1.06,Ideal,I,SI2,61.9,59,4103,6.47,6.52,4.02
6762,0.9,Premium,E,SI1,61.1,58,4106,6.22,6.26,3.81
6763,1.01,Good,E,SI1,64.3,59,4106,6.28,6.31,4.05
6764,0.94,Premium,G,SI1,61.9,57,4106,6.29,6.24,3.88
6768,0.91,Fair,D,VS2,65.7,56,4107,6.1,6.05,3.99
6781,0.93,Very Good,E,SI2,62.5,58,4113,6.21,6.24,3.89
6783,0.82,Ideal,D,SI1,61.9,56,4113,5.99,6.02,3.72
6787,1.02,Premium,I,SI1,61.7,58,4113,6.48,6.45,3.99
6788,1.2,Premium,J,SI1,62.8,58,4113,6.77,6.7,4.23
6797,0.9,Very Good,G,VS1,61.5,56,4116,6.15,6.2,3.8
6800,0.73,Very Good,D,VS1,61.1,59,4116,5.79,5.86,3.56
6802,0.92,Good,H,VS1,62.3,63,4116,6.18,6.3,3.88
6807,1,Premium,E,SI2,62.6,60,4116,6.35,6.33,3.97
6810,1.02,Ideal,I,SI2,61.8,57,4118,6.44,6.46,3.99
6814,1.01,Very Good,E,SI2,63.1,61,4118,6.34,6.27,3.98
6817,1.01,Good,E,SI2,63.7,55,4118,6.38,6.31,4.05
6823,0.9,Very Good,F,SI1,62.7,59,4119,6.12,6.16,3.85
6828,1.11,Premium,I,SI2,61.5,58,4120,6.61,6.65,4.08
6834,1.01,Good,I,VS2,62.8,59,4121,6.34,6.4,4
6838,1.01,Premium,F,SI2,60.6,60,4121,6.46,6.5,3.93
6844,0.9,Very Good,F,VS2,62.7,62,4124,6.11,6.17,3.85
6847,1.08,Premium,G,SI2,63,54,4124,6.58,6.54,4.13
6848,1.14,Ideal,F,I1,61.3,56,4124,6.76,6.74,4.13
6857,0.8,Very Good,F,VVS2,62.7,58,4126,5.88,5.92,3.7
6861,1.07,Premium,I,SI1,61.2,58,4126,6.62,6.55,4.03
6864,0.89,Ideal,F,SI1,62.1,55,4127,6.15,6.18,3.83
6869,0.91,Premium,H,VS2,61,59,4128,6.32,6.27,3.84
6873,0.9,Very Good,H,VS2,63.7,61,4129,6.04,6.07,3.86
6874,1.01,Ideal,H,SI2,61.7,56,4129,6.47,6.43,3.98
6885,1.2,Premium,I,VS2,61.3,60,4131,6.79,6.75,4.15
6887,0.91,Ideal,E,SI1,61,58,4132,6.23,6.29,3.82
6890,1.23,Premium,I,SI1,60.3,60,4133,6.95,6.88,4.17
6894,0.9,Ideal,G,VS2,62.7,56,4133,6.25,6.15,3.89
6897,0.9,Very Good,E,VS2,61.1,63,4134,6.17,6.2,3.78
6901,0.9,Very Good,G,VS2,63.4,59,4135,6.08,6.13,3.87
6909,0.9,Very Good,H,VS1,61.8,56,4136,6.16,6.18,3.81
6914,1.02,Very Good,J,SI1,61.4,58,4137,6.47,6.5,3.98
6917,0.9,Premium,G,VS2,62,60,4137,6.19,6.14,3.82
6922,0.91,Premium,E,SI1,62.4,57,4138,6.23,6.11,3.85
6923,0.91,Premium,E,SI1,61.9,61,4138,6.12,6.1,3.78
6924,1.01,Premium,G,SI1,62.3,59,4138,6.37,6.34,3.96
6926,0.91,Premium,E,SI1,62.6,58,4138,6.17,6.14,3.85
6931,1.01,Good,F,SI2,64.9,60,4140,6.2,6.25,4.04
6932,1.01,Good,F,SI2,58.2,61,4140,6.47,6.53,3.78
6934,1.32,Fair,H,I1,65.8,55,4140,6.87,6.83,4.51
6935,0.8,Ideal,F,VVS2,61.6,57,4140,5.97,5.94,3.67
6937,0.93,Premium,D,SI2,62.6,57,4140,6.26,6.2,3.9
6938,0.93,Premium,D,SI2,60.6,59,4140,6.34,6.3,3.83
6939,1.5,Premium,G,I1,60.4,55,4140,7.4,7.32,4.45
6940,1,Fair,E,SI1,66.3,62,4140,6.27,6.06,4.09
6941,1.5,Good,G,I1,63.7,57,4140,7.28,7.21,4.62
6942,1.04,Premium,I,SI2,61.3,59,4141,6.5,6.46,3.97
6943,0.82,Very Good,F,VVS2,63.1,59,4141,5.91,5.97,3.75
6954,0.93,Very Good,G,SI1,62.3,58,4144,6.2,6.29,3.9
6957,1.41,Fair,H,I1,64.7,58,4145,7.05,7,4.55
6962,0.9,Ideal,E,SI1,61.7,56,4147,6.16,6.23,3.82
6969,0.91,Good,G,VS1,64.1,59,4150,6.1,6.13,3.92
6970,1.01,Good,G,SI2,62.4,60,4150,6.32,6.38,3.96
6974,1,Premium,H,SI1,61.8,59,4150,6.4,6.35,3.94
6984,1.01,Premium,G,SI2,60.1,59,4154,6.45,6.39,3.86
6986,1.01,Very Good,G,SI2,63.5,58,4154,6.39,6.34,4.04
6990,0.9,Premium,H,VS2,61.3,59,4155,6.19,6.24,3.81
6991,0.9,Very Good,H,VS2,61.8,56,4155,6.18,6.25,3.84
6993,1.02,Very Good,I,SI2,63.2,60,4155,6.37,6.41,4.04
6997,1,Good,F,SI2,63.8,58,4155,6.33,6.28,4.02
7018,1,Good,F,SI1,63.7,58,4158,6.29,6.34,4.02
7020,1.1,Ideal,I,SI2,62.8,57,4158,6.63,6.56,4.14
7021,1.12,Premium,G,SI2,61.2,58,4158,6.69,6.67,4.09
7022,1.04,Premium,G,SI2,60.3,62,4158,6.56,6.5,3.94
7028,1.12,Ideal,G,SI2,62.8,54,4158,6.7,6.64,4.19
7029,0.83,Ideal,D,SI1,61.9,56,4159,6.01,6.04,3.73
7032,1.03,Premium,G,SI2,59.3,58,4160,6.58,6.63,3.92
7035,0.9,Very Good,I,VVS1,63.5,58,4161,6.06,6.09,3.86
7038,0.59,Ideal,D,IF,60.7,58,4161,5.45,5.49,3.32
7040,1.02,Very Good,F,SI2,60.4,60,4162,6.49,6.53,3.93
7043,1.06,Very Good,G,SI2,61.1,62,4162,6.55,6.61,4.02
7050,1,Fair,G,SI1,63.1,59,4163,6.32,6.27,3.97
7051,0.33,Ideal,E,SI1,62.5,55,579,4.42,4.45,2.77
7058,0.33,Ideal,E,SI1,62.4,56,579,4.41,4.43,2.76
7062,0.33,Premium,I,VVS2,61,59,579,4.41,4.44,2.7
7065,0.33,Very Good,G,VS2,59.3,61,579,4.49,4.51,2.67
7084,0.85,Ideal,G,VS1,61.6,54,4164,6.08,6.12,3.76
7087,0.9,Very Good,E,SI1,59.8,58,4165,6.21,6.26,3.73
7088,0.9,Very Good,E,SI1,61.8,59,4165,6.11,6.16,3.79
7090,0.9,Good,E,SI1,58.3,61,4165,6.24,6.29,3.65
7094,1.01,Premium,H,SI2,61.6,59,4166,6.39,6.44,3.95
7096,1.01,Very Good,H,SI2,58.8,58,4166,6.57,6.62,3.88
7104,0.9,Ideal,D,SI2,60.8,56,4167,6.26,6.24,3.8
7106,1.51,Fair,G,I1,65.6,54,4167,7.28,7.1,4.72
7112,1.11,Very Good,E,SI2,60,61,4170,6.66,6.71,4.01
7118,0.73,Ideal,F,VVS1,61.1,56,4171,5.83,5.86,3.57
7123,1,Very Good,H,SI2,61.6,58,4172,6.43,6.47,3.97
7125,1,Premium,G,SI2,59.4,62,4172,6.5,6.47,3.85
7130,0.92,Very Good,H,VS2,63.4,57,4173,6.17,6.11,3.89
7136,1.04,Very Good,I,SI1,62.5,62,4175,6.39,6.45,4.01
7142,1.11,Premium,E,SI2,61.6,61,4177,6.66,6.61,4.09
7146,1.01,Good,E,SI1,63.8,60,4179,6.31,6.36,4.04
7150,1.28,Ideal,F,SI2,59.7,57,4179,7.12,7.06,4.23
7151,0.79,Ideal,F,VVS2,61.9,57,4180,5.93,5.96,3.68
7154,1,Very Good,E,SI2,63.7,60,4181,6.24,6.32,4
7163,0.97,Good,F,SI2,59.1,62,4182,6.49,6.54,3.85
7164,0.93,Premium,F,SI1,61.1,59,4182,6.32,6.29,3.85
7172,0.9,Fair,F,VS1,66.2,55,4183,6.11,5.97,4
7174,0.65,Ideal,E,IF,62.3,56,4184,5.52,5.56,3.45
7180,1.11,Ideal,G,SI2,61.9,55,4185,6.65,6.6,4.1
7182,0.9,Very Good,H,VVS2,62.9,58,4186,6.1,6.15,3.85
7183,0.9,Very Good,F,VS2,61.2,59,4186,6.2,6.26,3.81
7193,0.91,Very Good,E,SI1,63.7,59,4188,6.13,6.17,3.92
7195,0.87,Ideal,F,SI1,61.7,56,4188,6.1,6.12,3.77
7197,1.01,Very Good,I,SI1,63.6,58,4189,6.31,6.36,4.03
7201,1,Premium,G,SI1,60,62,4189,6.48,6.45,3.88
7203,0.9,Good,E,SI1,57.9,60,4190,6.3,6.34,3.66
7205,0.86,Very Good,D,VS2,62.8,55,4191,6.07,6.13,3.83
7207,0.91,Very Good,E,SI1,63.3,56,4191,6.12,6.17,3.89
7209,0.9,Ideal,E,SI2,62.2,55,4191,6.19,6.22,3.86
7210,1.04,Good,D,SI2,57.6,63,4191,6.67,6.7,3.85
7212,0.9,Premium,H,VS2,61.7,59,4191,6.19,6.13,3.8
7222,0.89,Ideal,D,SI2,60.8,56,4192,6.22,6.25,3.79
7226,1.04,Good,H,SI2,57.9,58,4193,6.72,6.68,3.88
7228,0.8,Premium,G,IF,62.6,58,4193,5.93,5.89,3.7
7236,0.9,Good,G,VS2,63.6,58,4194,6.12,6.08,3.88
7237,1.07,Premium,H,SI2,62.2,59,4194,6.53,6.47,4.04
7238,0.9,Premium,G,VS2,61.3,59,4194,6.21,6.15,3.79
7243,1.11,Premium,I,SI2,61.5,58,4196,6.65,6.61,4.08
7244,1.06,Ideal,H,SI1,62.7,57,4196,6.53,6.48,4.08
7247,1.01,Premium,F,SI2,59.6,59,4197,6.59,6.52,3.91
7250,1.18,Premium,J,SI2,61.3,60,4197,6.78,6.83,4.17
7252,1.01,Premium,F,SI2,62.7,56,4197,6.4,6.35,4
7263,1.05,Very Good,J,SI1,62.5,58,4199,6.47,6.52,4.06
7264,1.03,Ideal,E,SI2,61.6,56,4199,6.5,6.45,3.99
7265,0.91,Ideal,I,VS2,61.6,56,4199,6.17,6.25,3.83
7267,1.25,Very Good,H,SI2,63.2,60,4199,6.87,6.81,4.32
7268,1.03,Ideal,I,VS1,62.4,57,4199,6.48,6.4,4.02
7269,1.03,Premium,I,VS1,60.1,59,4199,6.53,6.46,3.9
7284,1.25,Premium,J,SI1,62,61,4200,6.86,6.84,4.25
7293,0.91,Premium,H,VS2,61.9,59,4201,6.18,6.23,3.84
7302,0.9,Good,E,VS2,64,58,4203,6.07,6.02,3.87
7316,1.02,Premium,H,SI2,59.8,59,4207,6.5,6.54,3.9
7320,1.01,Very Good,I,SI1,60.9,59,4207,6.39,6.45,3.91
7323,1.01,Good,H,VS2,63.9,58,4208,6.26,6.22,3.99
7324,0.81,Premium,D,VS1,62.3,58,4209,6,5.94,3.72
7328,0.9,Premium,E,SI1,61.9,58,4209,6.17,6.1,3.8
7341,0.91,Very Good,E,SI1,62.4,57,4211,6.11,6.23,3.85
7343,1.01,Good,G,SI2,63.7,56,4211,6.26,6.34,4.01
7351,1,Good,E,SI1,59.8,65,4213,6.56,6.45,3.89
7355,1.13,Premium,J,SI1,61.3,59,4214,6.77,6.67,4.12
7357,1.12,Premium,E,SI2,63,61,4215,6.66,6.61,4.18
7358,0.56,Ideal,D,IF,62.4,56,4216,5.24,5.28,3.28
7359,1.1,Very Good,J,SI2,61.9,55,4217,6.59,6.63,4.09
7365,1,Very Good,G,SI1,58.6,63,4218,6.56,6.58,3.85
7368,0.93,Ideal,H,VS2,61.5,57,4218,6.3,6.26,3.86
7374,1.12,Ideal,G,SI2,62.1,57,4222,6.71,6.65,4.14
7375,1.16,Fair,H,SI2,66.3,57,4222,6.56,6.5,4.33
7382,0.33,Ideal,G,VS2,61.2,55,579,4.46,4.52,2.75
7385,0.33,Very Good,E,SI1,63,54,579,4.38,4.42,2.77
7387,0.33,Very Good,H,VS1,59.7,59,579,4.52,4.53,2.7
7395,0.33,Premium,H,VS1,59.5,59,579,4.48,4.53,2.68
7397,0.33,Very Good,H,VS1,62.9,59,579,4.35,4.4,2.75
7400,0.33,Premium,I,VVS2,62.2,59,579,4.41,4.47,2.76
7401,0.33,Ideal,H,VS1,60.2,57,579,4.5,4.54,2.72
7403,0.33,Very Good,G,VS2,62.8,54,579,4.4,4.42,2.77
7409,0.33,Premium,G,VS2,60,58,579,4.47,4.49,2.69
7412,1.06,Very Good,F,SI2,60,59,4224,6.6,6.63,3.97
7415,1.02,Ideal,H,SI2,60.5,60,4225,6.56,6.53,3.96
7417,0.98,Good,F,SI1,56.8,64,4226,6.68,6.52,3.75
7421,1,Premium,G,SI2,62.9,60,4227,6.35,6.3,3.98
7428,0.86,Ideal,E,SI1,60.6,56,4228,6.16,6.18,3.74
7430,0.91,Premium,D,SI1,62.8,57,4228,6.17,6.12,3.86
7433,0.9,Good,E,SI1,59.8,64,4229,6.14,6.21,3.69
7435,0.8,Premium,E,VVS2,62.9,59,4229,5.95,5.88,3.72
7438,0.93,Ideal,E,SI1,62.8,56,4229,6.24,6.19,3.9
7443,0.9,Very Good,F,SI1,63,60,4232,6.09,6.13,3.85
7444,0.9,Good,F,SI1,64.2,56,4232,6.02,6.1,3.89
7445,0.9,Premium,F,SI1,59.9,59,4232,6.26,6.29,3.76
7451,1.14,Premium,G,SI2,62.8,58,4233,6.68,6.64,4.18
7453,0.9,Premium,H,VS1,62.7,60,4234,6.12,6.07,3.82
7458,0.96,Good,G,SI1,57.6,59,4234,6.53,6.56,3.77
7459,0.9,Premium,H,VS1,62.4,58,4234,6.19,6.15,3.85
7461,1.05,Premium,H,SI2,63,59,4234,6.48,6.44,4.07
7466,0.9,Ideal,H,VS1,62,56,4234,6.22,6.19,3.85
7468,1,Premium,F,SI1,60.8,59,4234,6.44,6.38,3.9
7470,1,Very Good,F,SI1,63.1,59,4234,6.29,6.22,3.95
7473,1.2,Premium,J,SI2,61.1,59,4234,6.81,6.78,4.15
7475,1,Premium,F,SI1,60.8,59,4234,6.45,6.41,3.91
7483,1.06,Premium,G,SI2,61.1,62,4238,6.61,6.55,4.02
7484,1.02,Premium,F,SI2,60.4,60,4238,6.53,6.49,3.93
7489,1.06,Ideal,G,SI2,62.5,55,4238,6.55,6.51,4.08
7490,1.02,Premium,F,SI2,59.9,59,4238,6.59,6.56,3.94
7495,1.01,Ideal,F,SI2,61.4,56,4239,6.46,6.51,3.98
7499,0.7,Very Good,E,VVS2,61.7,57,4240,5.68,5.71,3.51
7500,0.79,Ideal,E,VS1,62,56,4240,5.9,5.93,3.67
7504,1.05,Premium,G,SI2,61.3,58,4241,6.55,6.6,4.03
7505,1.08,Very Good,G,SI2,59.8,57,4241,6.66,6.72,4
7506,1.05,Very Good,G,SI2,62.5,60,4241,6.45,6.5,4.05
7523,1.01,Ideal,G,SI2,62.4,56,4242,6.42,6.37,3.99
7528,1.01,Premium,H,SI2,61.5,60,4242,6.4,6.34,3.92
7540,1.01,Very Good,I,SI2,63.5,57,4244,6.35,6.37,4.04
7548,0.96,Very Good,G,SI1,63.2,57,4247,6.27,6.23,3.95
7554,1.21,Ideal,H,SI1,62.7,56,4249,6.81,6.78,4.26
7557,1.15,Premium,E,SI2,62.5,58,4250,6.65,6.72,4.18
7559,1.03,Good,E,SI2,63.8,62,4250,6.3,6.37,4.04
7560,1.12,Premium,H,SI2,62.4,58,4250,6.63,6.58,4.12
7563,1.2,Premium,G,SI2,62.6,61,4250,6.73,6.68,4.2
7566,1.02,Very Good,H,SI2,63.4,54,4252,6.37,6.43,4.06
7567,0.72,Ideal,F,VVS1,62,56,4252,5.73,5.75,3.56
7569,1.04,Premium,I,SI1,62.5,62,4252,6.45,6.39,4.01
7571,0.91,Very Good,D,SI1,59.3,58,4253,6.33,6.38,3.77
7576,0.92,Very Good,E,SI1,63,57,4254,6.17,6.21,3.9
7577,0.9,Very Good,H,VS2,60,56,4255,6.3,6.34,3.79
7585,0.93,Very Good,F,SI1,59.8,58,4256,6.32,6.39,3.8
7590,0.91,Good,E,SI1,63.7,64,4256,6.09,6.03,3.86
7593,1,Ideal,H,SI2,62.6,56,4256,6.38,6.34,3.98
7599,1.06,Good,E,SI2,58.8,61,4257,6.63,6.67,3.91
7606,0.73,Ideal,D,VS1,61.9,55,4258,5.78,5.81,3.59
7612,0.9,Premium,E,SI1,62.2,59,4259,6.21,6.16,3.88
7620,1.01,Very Good,D,SI2,61.8,57,4260,6.42,6.47,3.98
7623,1.01,Ideal,G,SI2,61.7,56,4260,6.47,6.43,3.98
7628,1.01,Fair,I,VS1,64.9,58,4263,6.17,6.22,4.02
7629,1.09,Ideal,H,SI2,62,57,4264,6.61,6.55,4.08
7635,1,Good,E,SI2,63.7,61,4265,6.27,6.2,3.97
7637,0.9,Premium,H,VS2,61.7,59,4266,6.13,6.19,3.8
7638,1.06,Very Good,I,SI1,60.4,59,4267,6.56,6.61,3.98
7640,0.91,Ideal,F,SI1,62.3,56,4267,6.16,6.19,3.85
7646,1.21,Premium,J,VS2,62.4,58,4268,6.83,6.79,4.25
7647,1.03,Ideal,F,SI2,62.3,56,4268,6.51,6.43,4.03
7650,0.9,Very Good,G,VS2,61.9,56,4269,6.17,6.23,3.84
7657,1.01,Ideal,G,SI2,62.8,56,4269,6.4,6.44,4.03
7664,1.06,Ideal,I,SI2,61.8,57,4270,6.57,6.6,4.07
7671,1.11,Ideal,I,SI1,62.4,55,4273,6.6,6.64,4.13
7673,1,Good,I,SI1,58,58,4273,6.56,6.62,3.82
7675,1.09,Fair,I,SI1,56.4,62,4273,6.97,6.9,3.9
7676,1.02,Premium,G,SI1,61.4,55,4273,6.51,6.48,3.99
7678,0.74,Good,D,VVS1,59.2,62.6,4274,5.85,5.87,3.47
7679,1.01,Good,H,SI1,64.6,56,4274,6.17,6.21,4
7680,1.18,Premium,J,SI2,61.3,60,4274,6.83,6.78,4.17
7681,1,Ideal,F,SI2,61.8,57,4274,6.45,6.36,3.96
7692,1.1,Very Good,H,SI1,62.1,58,4276,6.59,6.61,4.1
7697,1.01,Good,F,SI1,64.2,58,4276,6.33,6.31,4.06
7698,1.01,Good,F,SI1,64.1,60,4276,6.21,6.16,3.97
7700,1.01,Fair,F,SI1,67.2,60,4276,6.06,6,4.05
7710,1,Ideal,J,VS2,61.9,54,4278,6.41,6.45,3.98
7712,0.33,Ideal,E,SI1,62.5,55,579,4.42,4.45,2.77
7720,0.26,Ideal,F,VS1,62.3,56,580,4.1,4.08,2.55
7734,0.3,Ideal,H,VVS2,61.5,56,581,4.34,4.38,2.68
7737,0.43,Premium,H,I1,62,59,581,4.83,4.78,2.98
7743,1.07,Premium,G,SI2,59.9,59,4278,6.67,6.61,3.98
7747,0.91,Good,F,SI1,63.9,55,4279,6.1,6.17,3.92
7751,1.02,Ideal,I,VS2,60.8,57,4281,6.42,6.5,3.93
7754,0.64,Ideal,D,VVS1,61.5,56,4281,5.57,5.59,3.43
7768,0.91,Good,G,VS1,63.6,60,4284,6.03,6.11,3.86
7770,0.81,Premium,D,VS1,62.3,58,4284,5.94,6,3.72
7773,1,Premium,G,SI2,61.8,60,4284,6.37,6.34,3.93
7780,1.02,Premium,I,SI1,58,58,4284,6.84,6.6,3.9
7782,1.02,Premium,H,SI2,60.9,59,4284,6.51,6.46,3.95
7788,1.02,Very Good,E,SI2,58.7,63,4286,6.61,6.55,3.86
7792,0.71,Good,D,VS2,63.6,54,4289,5.7,5.75,3.64
7795,1.04,Very Good,I,SI1,62,57,4290,6.47,6.5,4.02
7798,1.03,Ideal,G,SI2,62.9,57,4290,6.37,6.47,4.04
7808,1.05,Very Good,I,SI1,63.5,58,4292,6.46,6.43,4.09
7816,1,Very Good,D,SI2,61.5,63,4295,6.32,6.27,3.87
7820,1,Very Good,G,SI1,63.1,56,4295,6.41,6.31,4.01
7831,1.01,Very Good,F,SI2,61.8,56,4298,6.43,6.38,3.96
7832,1.01,Premium,E,SI1,61.6,59,4299,6.44,6.42,3.96
7834,1.01,Very Good,F,SI2,63.2,58,4299,6.43,6.3,4.02
7836,1.01,Ideal,G,SI2,61.5,57,4299,6.5,6.42,3.97
7837,1.2,Very Good,I,SI1,63.1,61,4301,6.65,6.58,4.18
7838,1.2,Premium,H,SI2,60.8,59,4301,6.8,6.75,4.12
7842,0.91,Very Good,D,SI1,62.8,57,4303,6.12,6.17,3.86
7843,1.02,Very Good,H,SI2,59.7,58,4303,6.53,6.57,3.91
7848,1.01,Very Good,F,SI2,59.1,57,4304,6.57,6.62,3.9
7850,0.9,Very Good,D,SI1,63.3,57,4304,6.12,6.07,3.86
7852,0.9,Premium,D,SI1,62.7,56,4304,6.16,6.12,3.85
7853,0.9,Premium,D,SI1,61.5,58,4304,6.21,6.15,3.8
7854,0.9,Very Good,D,SI1,61,63,4304,6.13,6.1,3.73
7857,0.9,Premium,D,SI1,62.7,58,4304,6.15,6.09,3.84
7858,0.9,Premium,D,SI1,62.6,58,4304,6.15,6.11,3.84
7861,1.01,Very Good,H,SI1,62.3,57,4306,6.36,6.42,3.98
7862,1.13,Ideal,I,SI2,61.7,57,4307,6.59,6.7,4.13
7864,1.07,Very Good,I,SI1,61.8,60,4307,6.52,6.56,4.04
7865,1,Good,E,SI2,62.1,61,4307,6.36,6.4,3.96
7867,1,Very Good,E,SI2,62.5,59,4308,6.31,6.37,3.96
7870,0.9,Very Good,G,VS2,63.1,56,4309,6.14,6.04,3.84
7872,0.9,Good,F,VS2,63.6,59,4309,6.06,6.11,3.87
7880,0.92,Ideal,E,SI2,62.6,57,4309,6.22,6.18,3.88
7881,0.9,Very Good,G,VS2,63.3,54,4309,6.19,6.11,3.89
7885,1.21,Premium,F,SI2,62.4,60,4310,6.77,6.73,4.21
7887,1,Very Good,E,SI2,61.9,59,4311,6.39,6.43,3.97
7888,1,Very Good,E,SI2,60.7,59,4311,6.38,6.44,3.89
7890,1,Very Good,E,SI2,62.2,59,4312,6.35,6.38,3.96
7894,1.12,Very Good,I,SI1,60.6,60,4312,6.73,6.77,4.09
7895,1.1,Good,I,SI1,57.7,60,4312,6.82,6.77,3.92
7903,1,Ideal,H,SI2,61.4,56,4312,6.46,6.41,3.95
7906,1.06,Ideal,I,SI1,62.2,56,4313,6.49,6.53,4.05
7908,0.81,Ideal,E,VS2,62,57,4314,5.96,5.98,3.7
7911,1.07,Very Good,E,SI1,60.4,63,4314,6.67,6.6,4.01
7912,1.03,Very Good,G,SI2,63,57,4315,6.4,6.42,4.04
7918,1.09,Ideal,I,SI2,60.3,57,4315,6.64,6.7,4.02
7919,0.9,Good,E,VS2,64.2,59,4315,6.02,6.1,3.89
7922,1,Very Good,H,SI2,61.7,55,4316,6.4,6.46,3.97
7925,1.04,Very Good,H,SI1,63.1,58,4316,6.43,6.37,4.04
7930,1.01,Fair,F,SI2,65.3,59,4317,6.28,6.24,4.09
7933,0.9,Ideal,F,SI1,62,57,4318,6.21,6.25,3.86
7938,1.05,Premium,G,SI2,61.3,58,4318,6.6,6.55,4.03
7941,1.02,Premium,F,SI2,60.3,59,4318,6.53,6.5,3.93
7943,1.02,Very Good,F,SI2,63,58,4319,6.37,6.43,4.03
7945,1,Premium,G,SI2,61.8,58,4319,6.39,6.43,3.96
7948,1.07,Ideal,I,VS2,61.1,57,4319,6.66,6.6,4.05
7963,1.12,Premium,I,VS2,62.4,58,4321,6.63,6.59,4.13
7968,1.16,Very Good,J,VS2,63.7,56,4323,6.63,6.68,4.24
7969,0.7,Ideal,D,VS1,61.4,57,4323,5.71,5.76,3.52
7970,0.7,Ideal,D,VS1,61.5,57,4323,5.68,5.71,3.5
7977,0.9,Ideal,F,SI1,60.7,57,4324,6.25,6.21,3.78
7981,0.84,Ideal,G,VS1,61.8,56,4325,6.02,6.11,3.75
7982,1.12,Ideal,J,SI2,62.5,57,4325,6.63,6.59,4.13
7983,1.03,Ideal,H,SI2,61.1,57,4325,6.48,6.52,3.97
7984,0.92,Ideal,H,SI1,60.5,57,4325,6.27,6.32,3.81
7987,1.01,Good,G,SI1,63.2,55,4326,6.32,6.4,4.02
7988,0.92,Good,F,SI1,64,56,4326,6.12,6.17,3.93
7989,1.03,Premium,I,SI1,62,58,4326,6.47,6.43,4
7990,1.16,Premium,J,SI1,62.2,58,4326,6.75,6.68,4.18
7992,1.03,Very Good,E,SI2,60.7,63,4326,6.48,6.44,3.92
8000,1.01,Premium,G,SI2,61.9,59,4327,6.46,6.39,3.98
8004,1.01,Premium,G,SI2,60.4,59,4327,6.57,6.52,3.95
8006,1.01,Premium,G,SI2,61,58,4327,6.48,6.43,3.94
8007,1.01,Premium,G,SI2,60.1,61,4327,6.6,6.55,3.95
8013,1.03,Fair,I,VS1,57.6,58,4328,6.67,6.58,3.81
8014,1.03,Premium,E,SI2,61.4,58,4328,6.49,6.45,3.97
8015,1.5,Fair,I,SI2,70.1,58,4328,6.96,6.85,4.84
8016,0.92,Ideal,H,VS1,60.9,57,4328,6.33,6.29,3.84
8018,1.04,Premium,D,SI2,58.2,59,4330,6.67,6.62,3.87
8019,1.01,Premium,E,SI1,61.7,56,4330,6.44,6.39,3.96
8025,1.04,Very Good,H,SI2,60.2,60,4332,6.52,6.57,3.94
8026,1.01,Very Good,F,SI2,62.2,58,4332,6.33,6.38,3.95
8042,0.39,Ideal,J,VS2,61.4,57,581,4.66,4.72,2.88
8048,0.25,Ideal,G,VVS1,62.6,56,582,4.01,4.05,2.52
8050,0.25,Ideal,G,IF,61.1,57,582,4.06,4.07,2.48
8055,0.23,Very Good,F,VVS1,61.8,57,583,3.94,3.96,2.44
8057,0.23,Very Good,F,VVS1,62.8,54,583,3.92,3.94,2.47
8058,0.23,Very Good,E,VVS1,62.4,54,583,3.95,3.98,2.47
8061,0.27,Ideal,F,VVS2,60,62,583,4.21,4.22,2.53
8069,0.31,Good,F,VS2,63.5,55,583,4.31,4.32,2.74
8072,0.74,Good,F,VVS1,58.4,60,4336,6.03,6.06,3.53
8086,1.01,Premium,G,SI1,62.8,59,4338,6.33,6.29,3.96
8089,1.01,Good,F,SI1,64.2,58,4339,6.24,6.29,4.02
8092,1.25,Premium,I,SI2,60.1,60,4340,6.99,6.95,4.19
